player_name,position,game_info,stats,salary,points
Nick Westbrook-Ikhine,"Nick Westbrook-Ikhine
MIA 8 @ IND 33, Final
2 TGT,REC,7 REC YD","MIA 8 @ IND 33, Final","2 TGT,REC,7 REC YD",$14,1.2
Laviska Shenault Jr.,"Laviska Shenault Jr.
BAL 40 @ BUF 41, Final","BAL 40 @ BUF 41, Final",,$10,1.2
Mike Boone,"Mike Boone
MIA 8 @ IND 33, Final","MIA 8 @ IND 33, Final",,$10,1.1
Mark Andrews,"Mark Andrews
BAL 40 @ BUF 41, Final
TGT,REC,5 REC YD","BAL 40 @ BUF 41, Final","TGT,REC,5 REC YD",$20,1.0
Atlanta Falcons,SACK,"TB 23 @ ATL 20, Final","23 PTS ALLOWED,SACK",$14,1.0
Luke Farrell,"Luke Farrell
SF 17 @ SEA 13, Final
TGT,REC,4 REC YD","SF 17 @ SEA 13, Final","TGT,REC,4 REC YD",$10,0.9
Hendon Hooker,"Hendon Hooker
DET 13 @ GB 27, Final","DET 13 @ GB 27, Final",,$20,0.9
Luke Musgrave,"Luke Musgrave
DET 13 @ GB 27, Final
TGT,REC,4 REC YD","DET 13 @ GB 27, Final","TGT,REC,4 REC YD",$10,0.9
Chris Brooks,"Chris Brooks
DET 13 @ GB 27, Final
RUSH ATT,RUSH YD,TGT,REC,2 REC YD","DET 13 @ GB 27, Final","RUSH ATT,RUSH YD,TGT,REC,2 REC YD",$10,0.8
Mack Hollins,"Mack Hollins
LV 20 @ NE 13, Final
2 TGT,REC,3 REC YD","LV 20 @ NE 13, Final","2 TGT,REC,3 REC YD",$10,0.8
Kyle Allen,"Kyle Allen
DET 13 @ GB 27, Final","DET 13 @ GB 27, Final",,$20,0.8
John FitzPatrick,"John FitzPatrick
DET 13 @ GB 27, Final
TGT,REC,2 REC YD","DET 13 @ GB 27, Final","TGT,REC,2 REC YD",$10,0.7
Sione VakiO,"Sione VakiO
DET 13 @ GB 27, Final","DET 13 @ GB 27, Final",,$10,0.7
Aaron Shampklin,"Aaron Shampklin
MIA 8 @ IND 33, Final","MIA 8 @ IND 33, Final",,$10,0.6
Raheem BlackshearQ,"Raheem BlackshearQ
CAR 10 @ JAC 26, Final","CAR 10 @ JAC 26, Final",,$10,0.5
Ke'Shawn Vaughn,"Ke'Shawn Vaughn
SF 17 @ SEA 13, Final","SF 17 @ SEA 13, Final",,$10,0.4
Myles Gaskin,"Myles Gaskin
BAL 40 @ BUF 41, Final","BAL 40 @ BUF 41, Final",,$10,0.4
Nick Mullens,"Nick Mullens
CAR 10 @ JAC 26, Final","CAR 10 @ JAC 26, Final",,$20,0.3
Javon Baker,"Javon Baker
LV 20 @ NE 13, Final","LV 20 @ NE 13, Final",,$10,0.3
Woody Marks,"Woody Marks
HOU 9 @ LA 14, Final
3 RUSH ATT,3 RUSH YD","HOU 9 @ LA 14, Final","3 RUSH ATT,3 RUSH YD",$10,0.3
Sean Tucker,"Sean Tucker
TB 23 @ ATL 20, Final
RUSH ATT,2 RUSH YD","TB 23 @ ATL 20, Final","RUSH ATT,2 RUSH YD",$10,0.2
British Brooks,"British Brooks
HOU 9 @ LA 14, Final","HOU 9 @ LA 14, Final",,$10,0.1
Israel Abanikanda,"Israel Abanikanda
DET 13 @ GB 27, Final","DET 13 @ GB 27, Final",,$10,0.0
Dareke YoungO,"Dareke YoungO
SF 17 @ SEA 13, Final","SF 17 @ SEA 13, Final",,$10,0.0
Deon Jackson,"Deon Jackson
DET 13 @ GB 27, Final","DET 13 @ GB 27, Final",,$10,0.0
Nick Kallerup,"Nick Kallerup
SF 17 @ SEA 13, Final","SF 17 @ SEA 13, Final",,$10,0.0
Frank Gore Jr.,"Frank Gore Jr.
BAL 40 @ BUF 41, Final","BAL 40 @ BUF 41, Final",,$10,0.0
Kaden PratherQ,"Kaden PratherQ
BAL 40 @ BUF 41, Final","BAL 40 @ BUF 41, Final",,$10,0.0
Keleki Latu,"Keleki Latu
BAL 40 @ BUF 41, Final","BAL 40 @ BUF 41, Final",,$10,0.0
Jakob Johnson,"Jakob Johnson
HOU 9 @ LA 14, Final","HOU 9 @ LA 14, Final",,$10,0.0
Buffalo Bills,"2 SACK,","BAL 40 @ BUF 41, Final","40 PTS ALLOWED,2 SACK,FUM REC",$17,0.0
KJ Hamler,"KJ Hamler
BAL 40 @ BUF 41, Final","BAL 40 @ BUF 41, Final",,$10,0.0
Gunnar Oakes,"Gunnar Oakes
DET 13 @ GB 27, Final","DET 13 @ GB 27, Final",,$10,0.0
Corey KinerQ,"Corey KinerQ
SF 17 @ SEA 13, Final","SF 17 @ SEA 13, Final",,$10,0.0
Kurtis RourkeO,"Kurtis RourkeO
SF 17 @ SEA 13, Final","SF 17 @ SEA 13, Final",,$20,0.0
Jordan WatkinsO,"Jordan WatkinsO
SF 17 @ SEA 13, Final","SF 17 @ SEA 13, Final",,$10,0.0
Malik Turner,"Malik Turner
SF 17 @ SEA 13, Final","SF 17 @ SEA 13, Final",,$10,0.0
Jahmal Banks,"Jahmal Banks
BAL 40 @ BUF 41, Final","BAL 40 @ BUF 41, Final",,$10,0.0
Julian Hicks,"Julian Hicks
DET 13 @ GB 27, Final","DET 13 @ GB 27, Final",,$10,0.0
Malik Cunningham,"Malik Cunningham
BAL 40 @ BUF 41, Final","BAL 40 @ BUF 41, Final",,$10,0.0
Malik Taylor,"Malik Taylor
DET 13 @ GB 27, Final","DET 13 @ GB 27, Final",,$10,0.0
Kawaan Baker,"Kawaan Baker
DET 13 @ GB 27, Final","DET 13 @ GB 27, Final",,$10,0.0
Keith Kirkwood,"Keith Kirkwood
BAL 40 @ BUF 41, Final","BAL 40 @ BUF 41, Final",,$10,0.0
Tre' McKitty,"Tre' McKitty
HOU 9 @ LA 14, Final","HOU 9 @ LA 14, Final",,$10,0.0
Mark Redman,"Mark Redman
HOU 9 @ LA 14, Final","HOU 9 @ LA 14, Final",,$10,0.0
Jackson Meeks,"Jackson Meeks
DET 13 @ GB 27, Final","DET 13 @ GB 27, Final",,$10,0.0
Konata Mumpfield,"Konata Mumpfield
HOU 9 @ LA 14, Final","HOU 9 @ LA 14, Final",,$10,0.0
Drake StoopsSUSP,"Drake StoopsSUSP
HOU 9 @ LA 14, Final","HOU 9 @ LA 14, Final",,$10,0.0
Jakobie Keeney-James,"Jakobie Keeney-James
DET 13 @ GB 27, Final","DET 13 @ GB 27, Final",,$10,0.0
Daniel Jackson,"Daniel Jackson
HOU 9 @ LA 14, Final","HOU 9 @ LA 14, Final",,$10,0.0
Luke Lachey,"Luke Lachey
HOU 9 @ LA 14, Final","HOU 9 @ LA 14, Final",,$10,0.0
Kedon Slovis,"Kedon Slovis
HOU 9 @ LA 14, Final","HOU 9 @ LA 14, Final",,$20,0.0
Johnny Lumpkin,"Johnny Lumpkin
DET 13 @ GB 27, Final","DET 13 @ GB 27, Final",,$10,0.0
Tom Kennedy,"Tom Kennedy
DET 13 @ GB 27, Final","DET 13 @ GB 27, Final",,$10,0.0
Landon Parker,"Landon Parker
MIA 8 @ IND 33, Final","MIA 8 @ IND 33, Final",,$10,0.0
Skyy Moore,"Skyy Moore
SF 17 @ SEA 13, Final","SF 17 @ SEA 13, Final",,$10,0.0
Kene NwangwuQ,"Kene NwangwuQ
PIT 34 @ NYJ 32, Final","PIT 34 @ NYJ 32, Final",,$10,0.0
Miami Dolphins,SACK,"MIA 8 @ IND 33, Final","33 PTS ALLOWED,SACK",$12,0.0
Tyler Kahmann,"Tyler Kahmann
MIA 8 @ IND 33, Final","MIA 8 @ IND 33, Final",,$10,0.0
Sean McKeon,"Sean McKeon
MIA 8 @ IND 33, Final","MIA 8 @ IND 33, Final",,$10,0.0
Erik Ezukanma,"Erik Ezukanma
MIA 8 @ IND 33, Final","MIA 8 @ IND 33, Final",,$10,0.0
Tarik Black,"Tarik Black
MIA 8 @ IND 33, Final","MIA 8 @ IND 33, Final",,$10,0.0
Kevin Foelsch,"Kevin Foelsch
PIT 34 @ NYJ 32, Final","PIT 34 @ NYJ 32, Final",,$10,0.0
Brady Cook,"Brady Cook
PIT 34 @ NYJ 32, Final","PIT 34 @ NYJ 32, Final",,$20,0.0
Quentin Skinner,"Quentin Skinner
PIT 34 @ NYJ 32, Final","PIT 34 @ NYJ 32, Final",,$10,0.0
Pokey Wilson,"Pokey Wilson
PIT 34 @ NYJ 32, Final","PIT 34 @ NYJ 32, Final",,$10,0.0
Zack Kuntz,"Zack Kuntz
PIT 34 @ NYJ 32, Final","PIT 34 @ NYJ 32, Final",,$10,0.0
Andrew Beck,"Andrew Beck
PIT 34 @ NYJ 32, Final","PIT 34 @ NYJ 32, Final",,$10,0.0
Jack Plummer,"Jack Plummer
CAR 10 @ JAC 26, Final","CAR 10 @ JAC 26, Final",,$20,0.0
Ke'Shawn Williams,"Ke'Shawn Williams
PIT 34 @ NYJ 32, Final","PIT 34 @ NYJ 32, Final",,$10,0.0
Quincy Skinner Jr.,"Quincy Skinner Jr.
TB 23 @ ATL 20, Final","TB 23 @ ATL 20, Final",,$10,0.0
Nick Nash,"Nick Nash
TB 23 @ ATL 20, Final","TB 23 @ ATL 20, Final",,$10,0.0
Nikola Kalinic,"Nikola Kalinic
TB 23 @ ATL 20, Final","TB 23 @ ATL 20, Final",,$10,0.0
Feleipe Franks,"Feleipe Franks
TB 23 @ ATL 20, Final","TB 23 @ ATL 20, Final",,$10,0.0
Easton Stick,"Easton Stick
TB 23 @ ATL 20, Final","TB 23 @ ATL 20, Final",,$20,0.0
KhaDarel Hodge,"KhaDarel Hodge
TB 23 @ ATL 20, Final
TGT","TB 23 @ ATL 20, Final",TGT,$10,0.0
Connor Bazelak,"Connor Bazelak
TB 23 @ ATL 20, Final","TB 23 @ ATL 20, Final",,$20,0.0
Kameron Johnson,"Kameron Johnson
TB 23 @ ATL 20, Final","TB 23 @ ATL 20, Final",,$10,0.0
